Optimizer,N,M,Lambda,L2_Error,Model_Path
LBFGS,5000,1000,1.0,0.003954887087971291,models\LBFGS-5000-1000-1p0.pt
LBFGS,5000,1000,50.0,0.00043915020459490094,models\LBFGS-5000-1000-50p0.pt
LBFGS,5000,200,0.1,0.010254665799717576,models\LBFGS-5000-200-0p1.pt
LBFGS,5000,200,10.0,0.0007218014649020049,models\LBFGS-5000-200-10p0.pt
LBFGS,5000,200,1.0,0.0031404112625512295,models\LBFGS-5000-200-1p0.pt
LBFGS,5000,200,50.0,0.0004644709471324982,models\LBFGS-5000-200-50p0.pt
LBFGS,5000,400,0.1,0.022059219585515464,models\LBFGS-5000-400-0p1.pt
LBFGS,5000,400,10.0,0.0010198748759143964,models\LBFGS-5000-400-10p0.pt
LBFGS,5000,400,1.0,0.004268632281035349,models\LBFGS-5000-400-1p0.pt
LBFGS,5000,400,50.0,0.0005210054097875576,models\LBFGS-5000-400-50p0.pt
